ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,5200,66,0,0,300,60,1.25,1.1,1.25,1.1
1,1,6760,73,0,0,,,,,,
1,2,8788,80,0,0,,,,,,
1,3,11424,88,0,0,,,,,,
2,1,8788,80,0,0,,,,,,
2,2,11424,88,0,0,,,,,,
2,3,14852,97,0,0,,,,,,
2,4,19307,106,0,0,,,,,,
3,1,11424,88,0,0,,,,,,
3,2,14852,97,0,0,,,,,,
3,3,19307,106,0,0,,,,,,
3,4,25099,117,0,0,,,,,,
4,1,14852,97,0,0,,,,,,
4,2,19307,106,0,0,,,,,,
4,3,25099,117,0,0,,,,,,
4,4,32629,129,0,0,,,,,,
4,5,42418,141,0,0,,,,,,
5,1,19307,106,0,0,,,,,,
5,2,25099,117,0,0,,,,,,
5,3,32629,129,0,0,,,,,,
5,4,42418,141,0,0,,,,,,
5,5,130000,300,0,0,,,,,,
